1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	26	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	27	1
1	1	6	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	5	1
1	1	6	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	5	1
1	1	6	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	5	1
1	1	6	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	5	1
1	1	6	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	5	1
1	1	6	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	5	1
1	1	6	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	5	1
1	1	6	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	5	1
1	1	6	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	5	1
1	1	6	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	7	7
1	1	6	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13
1	1	6	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19
1	1	6	10	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13
1	1	24	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
