1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19
0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13
18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	13	0	13
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	19	18	19
1	1	1	1	1	1	1	1	1	1	1	1	1	1	26	7	8	13	0	13
1	1	1	1	1	1	1	1	1	1	26	7	7	7	8	19	18	19	18	19
1	1	1	1	1	1	1	1	1	1	6	13	0	13	0	13	0	13	0	13
1	1	1	26	7	7	7	7	7	7	8	19	18	19	18	19	18	19	15	12
1	1	26	8	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13
1	1	6	19	18	19	18	19	18	19	18	19	18	19	18	4	3	19	18	19
1	1	6	13	0	13	0	13	0	13	0	13	0	13	0	5	6	13	0	13
1	1	24	3	18	19	18	19	18	19	18	19	18	4	2	25	6	19	18	19
1	1	1	24	2	2	3	10	14	10	4	2	2	25	1	1	6	13	0	13
1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	6	19	18	19
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	10	14	10
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24	2	2	2
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
